2018-10-09 23:00:01.040 [main] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcher': initialization started
2018-10-09 23:00:01.056 [main] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'dispatcher-servlet': startup date [Tue Oct 09 23:00:01 CST 2018]; parent: Root WebApplicationContext
2018-10-09 23:00:01.056 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-mvc.xml]
2018-10-09 23:00:01.087 [main] INFO  o.s.b.factory.support.DefaultListableBeanFactory - Overriding bean definition for bean 'mvcContentNegotiationManager': replacing [Root bean: class [org.springframework.web.accept.ContentNegotiationManagerFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.web.accept.ContentNegotiationManagerFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
2018-10-09 23:00:01.087 [main] INFO  o.s.b.factory.support.DefaultListableBeanFactory - Overriding bean definition for bean 'mvcUriComponentsContributor': replacing [Root bean: class [org.springframework.web.servlet.config.AnnotationDrivenBeanDefinitionParser$CompositeUriComponentsContributorFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.web.servlet.config.AnnotationDrivenBeanDefinitionParser$CompositeUriComponentsContributorFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
2018-10-09 23:00:01.103 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-10-09 23:00:01.118 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/test],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.xhMall.dto.BaseResult<com.xhMall.db.entity.MenuEntity> com.xhMall.controller.UserController.test()
2018-10-09 23:00:01.118 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/activate],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.xhMall.dto.BaseResult<?> com.xhMall.controller.UserController.activate(java.lang.String,java.lang.String)
2018-10-09 23:00:01.118 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.xhMall.controller.UserController.login(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.xhMall.db.entity.UserEntity)
2018-10-09 23:00:01.118 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/getVerifyCode],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.xhMall.dto.BaseResult<?> com.xhMall.controller.UserController.getVerifyCode(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-10-09 23:00:01.118 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/regist],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.xhMall.dto.BaseResult<?> com.xhMall.controller.UserController.regist(javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpServletRequest,com.xhMall.db.entity.UserEntity,org.springframework.validation.BindingResult)
2018-10-09 23:00:01.118 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/mall_regist],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.xhMall.controller.UserController.mall_regist(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-10-09 23:00:01.118 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.xhMall.controller.UserController.testView(org.springframework.ui.Model)
2018-10-09 23:00:01.118 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/exportData],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.http.ResponseEntity<byte[]> com.xhMall.controller.UserController.exportData(javax.servlet.http.HttpServletResponse)
2018-10-09 23:00:01.118 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/fileUpLoad],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.xhMall.controller.UserController.fileUpLoad(org.springframework.web.multipart.MultipartFile,javax.servlet.http.HttpServletRequest)
2018-10-09 23:00:01.197 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/test],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.xhMall.dto.BaseResult<com.xhMall.db.entity.MenuEntity> com.xhMall.controller.UserController.test()
2018-10-09 23:00:01.197 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/activate],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.xhMall.dto.BaseResult<?> com.xhMall.controller.UserController.activate(java.lang.String,java.lang.String)
2018-10-09 23:00:01.197 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.xhMall.controller.UserController.login(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.xhMall.db.entity.UserEntity)
